TIME (SEC),GEOD (DEG),LONG (DEG),ALTITUDE (FT),ALTITUDE RATE (FPS),V_EARTH (FPS),V_INERTIAL (FPS),ROLL ANGLE (DEG),PITCH ANGLE (DEG),YAW ANGLE (DEG),THROTTLE (%),ACCEL (G),TOTAL WEIGHT (LBS),EXTERNAL TANK WEIGHT (LBS)
0,28.608,-80.604,-23,0,0,1341,0,89.8,-43.7,100,0.25,4522509,1602148
0.96,28.608,-80.604,-21,11,11,1341,0,89.7,-45.2,100,1.55,4504784,1599154
1.92,28.608,-80.604,-2,28,28,1341,0,89.6,-46.4,100,1.56,4478882,1596159
2.88,28.608,-80.604,34,46,46,1341,0,89.6,-48,100,1.57,4452976,1593165
3.84,28.608,-80.604,86,64,64,1342,0,89.6,-49.8,100,1.59,4426988,1590170
4.8,28.608,-80.604,156,82,83,1343,0,89.7,-51.3,104.5,1.63,4400732,1587072
5.76,28.609,-80.604,244,102,103,1344,0,89.7,-51.8,104.5,1.65,4374212,1583942
6.72,28.609,-80.604,352,122,123,1346,0,89.8,-52.6,104.5,1.67,4347482,1580812
7.68,28.609,-80.604,480,143,144,1348,0,89.8,-43.9,104.5,1.69,4320624,1577682
8.64,28.609,-80.604,628,165,166,1350,0,89.7,35.9,104.5,1.71,4293672,1574553
9.6,28.609,-80.604,797,187,188,1353,0,88.8,50.8,104.5,1.73,4266630,1571422
10.56,28.609,-80.604,987,209,210,1357,124.3,87.2,49.7,104.5,1.74,4239526,1568293
11.52,28.609,-80.604,1198,232,233,1363,136.1,85,43.9,104.5,1.75,4212394,1565163
12.48,28.609,-80.604,1432,255,256,1372,145.1,82.5,36.6,104.5,1.77,4185246,1562033
13.44,28.609,-80.604,1688,278,279,1383,152.8,79.8,29.3,104.5,1.78,4158074,1558903
14.4,28.609,-80.604,1966,301,303,1397,160,76.7,22.3,104.5,1.8,4130872,1555773
15.36,28.609,-80.604,2266,324,327,1413,167.8,73.7,16,104.5,1.81,4103636,1552643
16.32,28.609,-80.604,2588,346,352,1432,175.7,71.2,9.8,104.5,1.83,4076360,1549513
17.28,28.609,-80.604,2931,369,377,1451,181.6,69.8,4.7,104.5,1.85,4049037,1546383
18.24,28.609,-80.603,3295,391,404,1471,183.6,69.2,1.9,104.5,1.87,4021668,1543253
19.2,28.61,-80.603,3682,414,431,1491,182.7,69.4,1.7,104.5,1.88,3994263,1540123
20.16,28.61,-80.603,4090,437,459,1511,180.6,69.8,2.8,104.5,1.9,3966832,1536993
21.12,28.61,-80.603,4521,461,487,1531,179.4,70,3.7,104.5,1.91,3939394,1533863
22.08,28.61,-80.602,4975,485,516,1552,179.1,70.1,3.9,104.5,1.91,3912082,1530733
23.04,28.611,-80.602,5453,509,544,1573,179.3,70,3.6,104.5,1.9,3885136,1527603
24,28.611,-80.601,5953,533,572,1593,179.6,69.9,3.3,104.5,1.88,3858609,1524473
24.96,28.611,-80.601,6475,555,599,1613,179.8,69.8,2.9,104.5,1.87,3832460,1521343
25.92,28.612,-80.6,7019,578,626,1633,179.9,69.6,2.6,104.5,1.87,3806644,1518213
26.88,28.612,-80.6,7585,600,653,1653,180,69.4,2.6,104.5,1.86,3781124,1515083
27.84,28.613,-80.599,8172,622,680,1673,180,69.1,2.8,104.5,1.86,3755880,1511953
28.8,28.613,-80.599,8780,644,706,1694,179.9,68.9,2.9,104.5,1.85,3730894,1508823
29.76,28.614,-80.598,9409,666,732,1714,179.9,68.6,3,104.5,1.85,3706157,1505693
30.72,28.614,-80.597,10058,687,758,1734,179.8,68.4,3.2,104.5,1.85,3681660,1502563
31.68,28.615,-80.597,10728,708,784,1755,179.7,68,3.2,104.5,1.84,3657399,1499433
32.64,28.616,-80.596,11417,729,810,1775,179.7,67.7,3.3,104.5,1.84,3633366,1496303
33.6,28.616,-80.595,12127,750,836,1796,179.6,67.5,3.3,101,1.82,3609574,1493190
34.56,28.617,-80.594,12857,769,860,1816,179.5,67.1,3.3,92,1.79,3586226,1490302
35.52,28.618,-80.593,13604,788,884,1836,179.3,66.7,3.2,82,1.74,3563378,1487702
36.48,28.618,-80.592,14368,804,906,1855,179.2,66.2,3.2,72,1.7,3541029,1485390
37.44,28.619,-80.591,15148,820,928,1875,179.2,65.6,3,72,1.7,3519044,1483236
38.4,28.62,-80.59,15943,836,949,1894,179.2,65.2,3,72,1.7,3497263,1481082
39.36,28.621,-80.589,16752,851,970,1913,179.2,64.8,2.9,72,1.69,3475682,1478928
40.32,28.622,-80.588,17576,866,992,1933,179.4,64.5,2.9,72,1.69,3454294,1476775
41.28,28.622,-80.587,18414,881,1013,1952,179.5,64.2,2.9,72,1.69,3433089,1474621
42.24,28.623,-80.586,19267,895,1034,1971,179.6,63.8,2.9,72,1.69,3412049,1472468
43.2,28.624,-80.585,20133,910,1054,1990,179.6,63.5,2.9,72,1.69,3391157,1470314
44.16,28.625,-80.584,21013,924,1075,2009,179.7,63.1,2.8,72,1.7,3370400,1468160
45.12,28.626,-80.583,21906,937,1096,2029,179.7,62.8,2.8,72,1.7,3349768,1466007
46.08,28.627,-80.581,22813,951,1116,2048,179.8,62.6,2.8,72,1.7,3329266,1463853
47.04,28.628,-80.58,23733,965,1136,2067,179.9,62.3,2.8,72,1.7,3308930,1461699
48,28.629,-80.579,24665,978,1156,2085,180.1,62,2.8,72,1.69,3288812,1459546
48.96,28.631,-80.577,25610,991,1176,2104,180.2,61.7,2.7,72,1.69,3268910,1457392
49.92,28.632,-80.576,26568,1004,1196,2123,180.2,61.3,2.6,78,1.72,3249084,1455175
50.88,28.633,-80.575,27538,1018,1217,2144,180.3,60.9,2.5,88,1.78,3229066,1452685
51.84,28.634,-80.573,28522,1033,1240,2165,180.3,60.7,2.4,98,1.84,3208793,1449908
52.8,28.635,-80.572,29523,1051,1265,2187,180.4,60.6,2.4,104.5,1.89,3188214,1446852
53.76,28.637,-80.57,30540,1069,1291,2211,180.5,60.3,2.4,104.5,1.91,3167485,1443723
54.72,28.638,-80.568,31575,1088,1317,2235,180.4,60,2.4,104.5,1.94,3146663,1440593
55.68,28.639,-80.567,32629,1107,1345,2260,180.3,59.7,2.3,104.5,1.96,3125743,1437462
56.64,28.641,-80.565,33701,1127,1373,2286,180.2,59.5,2.2,104.5,1.99,3104729,1434333
57.6,28.642,-80.563,34792,1147,1402,2312,180.1,59.2,2,104.5,2.01,3083624,1431203
58.56,28.644,-80.562,35903,1168,1431,2339,180.2,59,1.9,104.5,2.04,3062430,1428073
59.52,28.645,-80.56,37035,1190,1462,2367,180.3,58.7,1.8,104.5,2.06,3041150,1424943
60.48,28.647,-80.558,38187,1212,1493,2396,180.4,58.3,1.8,104.5,2.09,3019790,1421813
61.44,28.648,-80.556,39361,1234,1525,2426,180.4,57.8,1.8,104.5,2.11,2998353,1418683
62.4,28.65,-80.554,40556,1257,1558,2457,180.3,57.3,1.8,104.5,2.14,2976841,1415553
63.36,28.652,-80.552,41774,1280,1593,2489,180.2,56.7,1.7,104.5,2.16,2955254,1412423
64.32,28.653,-80.55,43013,1303,1628,2522,180.2,56.1,1.7,104.5,2.19,2933590,1409293
65.28,28.655,-80.548,44275,1326,1664,2556,180.2,55.5,1.7,104.5,2.21,2911850,1406163
66.24,28.657,-80.545,45560,1350,1701,2592,180.2,54.8,1.7,104.5,2.24,2890031,1403033
67.2,28.659,-80.543,46867,1374,1739,2628,180.3,54.2,1.9,104.5,2.27,2868134,1399903
68.16,28.661,-80.541,48198,1398,1778,2667,180.4,53.6,2,104.5,2.29,2846161,1396773
69.12,28.663,-80.538,49552,1423,1818,2706,180.5,52.9,2.1,104.5,2.32,2824126,1393643
70.08,28.665,-80.536,50929,1447,1860,2747,180.6,52,2.3,104.5,2.35,2802041,1390513
71.04,28.667,-80.533,52331,1472,1903,2789,180.7,51.1,2.4,104.5,2.37,2779917,1387383
72,28.669,-80.531,53755,1496,1946,2833,180.7,50.3,2.6,104.5,2.4,2757757,1384253
72.96,28.672,-80.528,55203,1521,1992,2878,180.8,49.6,2.7,104.5,2.42,2735570,1381123
73.92,28.674,-80.525,56675,1545,2038,2925,180.8,48.9,2.8,104.5,2.44,2713361,1377993
74.88,28.676,-80.522,58170,1570,2085,2972,180.9,48,2.9,104.5,2.47,2691140,1374863
75.84,28.679,-80.519,59688,1594,2133,3022,180.9,47.3,3,104.5,2.49,2668918,1371733
76.8,28.682,-80.516,61230,1618,2183,3072,180.9,46.5,3.1,104.5,2.51,2646714,1368603
77.76,28.684,-80.513,62796,1643,2233,3123,181,45.8,3.2,104.5,2.52,2624599,1365473
78.72,28.687,-80.509,64384,1666,2284,3175,181,45,3.3,104.5,2.52,2602670,1362343
79.68,28.69,-80.506,65995,1689,2335,3227,181,44.2,3.4,104.5,2.52,2580950,1359214
80.64,28.693,-80.502,67628,1712,2387,3280,181,43.5,3.5,104.5,2.53,2559388,1356084
81.6,28.696,-80.499,69282,1734,2439,3334,181,42.7,3.6,104.5,2.53,2538003,1352954
82.56,28.699,-80.495,70957,1756,2491,3388,181,42.1,3.7,104.5,2.52,2516848,1349824
83.52,28.702,-80.491,72653,1777,2544,3442,180.9,41.6,3.7,104.5,2.52,2495912,1346694
84.48,28.705,-80.487,74368,1798,2597,3497,180.9,41.1,3.8,104.5,2.52,2475175,1343564
85.44,28.709,-80.483,76104,1818,2650,3552,180.8,40.6,3.8,104.5,2.51,2454670,1340434
86.4,28.712,-80.479,77859,1838,2703,3607,180.8,40.2,3.8,104.5,2.5,2434463,1337304
87.36,28.716,-80.474,79632,1857,2756,3662,180.8,39.7,3.8,104.5,2.49,2414578,1334174
88.32,28.72,-80.47,81424,1876,2809,3717,180.8,39.3,3.8,104.5,2.48,2394948,1331044
89.28,28.723,-80.465,83235,1895,2863,3772,180.8,38.8,3.8,104.5,2.49,2375460,1327914
90.24,28.727,-80.46,85063,1913,2917,3828,180.8,38.3,3.8,104.5,2.5,2356053,1324784
91.2,28.731,-80.455,86908,1932,2972,3885,180.8,37.9,3.8,104.5,2.51,2336742,1321654
92.16,28.735,-80.45,88772,1950,3027,3941,180.8,37.4,3.8,104.5,2.51,2317575,1318524
